Province,Status,Male,Female,Total,
Koshi,Can't Read and Write,13.7,26.1,20.1,
Koshi,Can Read and Write,86.1,73.6,79.7,
Koshi,Can Read Only,0.2,0.3,0.3,
Madesh,Can't Read and Write,27.3,45,36.2,
Madesh,Can Read and Write,72.5,54.7,63.5,
Madesh,Can Read Only,0.3,0.3,0.3,
Bagmati,Can't Read and Write,11.5,23.6,17.6,
Bagmati,Can Read and Write,88.3,76,82.1,
Bagmati,Can Read Only,0.3,0.4,0.4,
Gandaki,Can't Read and Write,10.5,23.5,17.4,
Gandaki,Can Read and Write,88.8,75.3,81.7,
Gandaki,Can Read Only,0.6,1,0.8,
Lumbini,Can't Read and Write,14.4,27.6,21.3,
Lumbini,Can Read and Write,85.2,71.7,78.1,
Lumbini,Can Read Only,0.4,0.7,0.5,
Karnali,Can't Read and Write,16.2,29.8,23.2,
Karnali,Can Read and Write,83.3,69.4,76.1,
Karnali,Can Read Only,0.5,0.7,0.6,
Sudurpaschim,Can't Read and Write,14,31,23.1,
Sudurpaschim,Can Read and Write,85.4,68.2,76.2,
Sudurpaschim,Can Read Only,0.5,0.8,0.6,
